Date,2330.TW,NVDA,AMD
2018/3/12,227.241425,247.841309,11.52
2018/3/13,231.714661,245.807083,11.64
2018/3/14,229.925354,246.829163,11.36
2018/3/15,228.136078,247.424561,11.46
2018/3/16,228.136078,248.555786,11.47
2018/3/19,228.136078,239.148636,11.43
2018/3/20,226.346786,247.66272,11.11
2018/3/21,225.89946,246.650558,11.26
2018/3/22,225.004791,239.992065,10.91
2018/3/23,219.189545,231.180344,10.63
2018/3/26,217.847595,242.601898,10.44
2018/3/27,224.557465,223.787537,10
2018/3/28,219.189545,219.649597,9.81
2018/3/29,218.294907,229.810913,10.05
2018/3/30,220.084213,219.351883,9.53
2018/4/2,220.53154,223.618851,9.55
2018/4/3,218.294907,224.502014,9.77
2018/4/9,219.189545,219.679367,10.02
2018/4/10,219.636887,212.604141,9.61
2018/4/11,221.87352,213.755203,9.53
2018/4/12,219.189545,226.159164,9.98
2018/4/13,218.742233,224.502014,9.82
2018/4/16,217.847595,232.797791,10.08
2018/4/17,212.927017,229.721573,9.93
2018/4/18,212.927017,229.7117,10.09
2018/4/19,218.742233,235.715179,10.52
2018/4/20,204.875137,234.554214,10.36
2018/4/23,202.638519,227.280487,10.11
2018/4/24,203.085831,226.953049,9.99
2018/4/25,201.296539,222.160172,10.04
2018/4/26,198.612579,219.500732,10.09
2018/4/27,199.954559,214.995605,9.71
2018/4/30,203.085831,223.489853,11.04
2018/5/2,199.507217,224.591354,11.11
2018/5/3,197.270599,223.172302,10.88
2018/5/4,199.507217,225.395096,11.13
2018/5/7,199.954559,224.571457,10.97
2018/5/8,203.980499,231.200165,10.93
2018/5/9,205.322464,237.223541,11.28
2018/5/10,205.322464,246.769608,11.59
2018/5/11,208.453751,248.47641,11.61
2018/5/14,208.453751,253.815094,11.95
2018/5/15,206.217102,258.131653,12.13
2018/5/16,206.217102,252.574692,11.95
2018/5/17,202.638519,253.398315,12.23
2018/5/18,199.954559,243.673599,12.45
2018/5/21,204.875137,244.120148,12.82
2018/5/22,204.875137,245.807083,12.82
2018/5/23,204.427811,244.05069,13
2018/5/24,204.875137,242.363754,12.99
2018/5/25,204.427811,240.835556,12.98
2018/5/28,203.085831,245.790283,13.1
2018/5/29,201.296539,245.939224,13.41
2018/5/30,197.717926,247.51799,13.54
2018/5/31,200.401886,246.83287,13.36
