Date,AMZN,AMD,COST
2018-03-12,1598.390015,11.52,179.446548
2018-03-13,1588.180054,11.64,177.636627
2018-03-14,1591,11.36,174.954971
2018-03-15,1582.319946,11.46,175.788834
2018-03-16,1571.680054,11.47,176.129974
2018-03-19,1544.930054,11.43,174.500076
2018-03-20,1586.51001,11.11,177.532394
2018-03-21,1581.859985,11.26,176.319489
2018-03-22,1544.920044,10.91,173.069229
2018-03-23,1495.560059,10.63,171.363525
2018-03-26,1555.859985,10.44,177.40921
2018-03-27,1497.050049,10,173.552505
2018-03-28,1431.420044,9.81,173.988419
2018-03-29,1447.339966,10.05,178.555817
2018-04-02,1371.98999,9.53,173.173447
2018-04-03,1392.050049,9.55,173.040802
2018-04-04,1410.569946,9.77,175.798325
2018-04-05,1451.75,10.02,176.490067
2018-04-06,1405.22998,9.61,174.320084
2018-04-09,1406.079956,9.53,174.74646
2018-04-10,1436.219971,9.98,173.931549
2018-04-11,1427.050049,9.82,174.973892
2018-04-12,1448.5,10.08,178.92543
2018-04-13,1430.790039,9.93,179.010666
2018-04-16,1441.5,10.09,184.383545
2018-04-17,1503.829956,10.52,185.729156
2018-04-18,1527.839966,10.36,186.212433
2018-04-19,1556.910034,10.11,184.847855
2018-04-20,1527.48999,9.99,183.416977
2018-04-23,1517.859985,10.04,183.218002
2018-04-24,1460.089966,10.09,182.422012
2018-04-25,1460.170044,9.71,183.805511
2018-04-26,1517.959961,11.04,185.027893
2018-04-27,1572.619995,11.11,186.278748
2018-04-30,1566.130005,10.88,186.828354
2018-05-01,1582.26001,11.13,186.250305
2018-05-02,1569.680054,10.97,183.833939
2018-05-03,1572.079956,10.93,182.895813
2018-05-04,1580.949951,11.28,184.961594
2018-05-07,1600.140015,11.59,182.943161
2018-05-08,1592.390015,11.61,184.288742
2018-05-09,1608,11.95,185.767014
2018-05-10,1609.079956,12.13,185.748032
2018-05-11,1602.910034,11.95,186.042648
2018-05-14,1601.540039,12.23,186.156708
2018-05-15,1576.119995,12.45,185.776566
2018-05-16,1587.280029,12.82,188.846222
2018-05-17,1581.76001,12.82,189.692047
2018-05-18,1574.369995,13,189.083817
2018-05-21,1585.459961,12.99,189.711044
2018-05-22,1581.400024,12.98,189.093292
2018-05-23,1601.859985,13.1,188.30452
2018-05-24,1603.069946,13.41,189.017273
2018-05-25,1610.150024,13.54,188.513596
2018-05-29,1612.869995,13.36,186.974014
2018-05-30,1624.890015,13.82,189.730042
2018-05-31,1629.619995,13.73,188.399536
2018-06-01,1641.540039,14.4,187.34465
2018-06-04,1665.27002,14.85,188.760696
2018-06-05,1696.349976,14.85,188.019379
2018-06-06,1695.75,15.67,187.848343
2018-06-07,1689.300049,14.89,192.514587
2018-06-08,1683.98999,15.25,193.645508
2018-06-11,1689.119995,15.73,194.348816
2018-06-12,1698.75,15.85,194.709915
2018-06-13,1704.859985,16.32,193.978149
2018-06-14,1723.859985,16.25,194.938019
2018-06-15,1715.969971,16.34,197.028824
2018-06-18,1723.790039,17.110001,195.973923
2018-06-19,1734.780029,16.690001,197.228394
2018-06-20,1750.079956,16.52,197.656021
2018-06-21,1730.219971,15.65,199.537796
2018-06-22,1715.670044,15.8,200.621216
2018-06-25,1663.150024,15.11,201.238922
2018-06-26,1691.089966,15.5,199.661316
2018-06-27,1660.51001,14.97,199.604309
2018-06-28,1701.449951,15.31,198.349854
2018-06-29,1699.800049,14.99,198.606415
2018-07-02,1713.780029,15.16,197.665573
2018-07-03,1693.959961,15,196.838745
2018-07-05,1699.72998,15.5,198.758484
2018-07-06,1710.630005,16.360001,199.214645
2018-07-09,1739.02002,16.610001,200.469116
2018-07-10,1743.069946,16.549999,201.191391
2018-07-11,1755,16.27,200.478638
