Date,ARKG,ARKW,ARKQ
2018-03-01,25.277441,44.733234,32.885937
2018-03-02,25.979958,45.38723,33.464062
2018-03-05,26.306667,46.093544,33.916931
2018-03-06,26.504959,46.5993,34.331257
2018-03-07,27.109276,46.948097,34.437252
2018-03-08,27.645607,47.087616,34.678135
2018-03-09,28.421778,47.698013,35.063553
2018-03-12,28.412333,47.968327,35.448975
2018-03-13,28.212154,47.139938,35.015377
2018-03-14,27.77969,47.54977,34.890118
2018-03-15,27.12816,47.410252,34.909389
2018-03-16,26.958195,47.375378,34.761967
2018-03-19,26.50968,46.5993,34.109646
2018-03-20,26.46719,46.76498,34.292717
2018-03-21,26.523844,46.887058,34.21563
2018-03-22,26.004509,45.48315,33.194271
2018-03-23,25.475731,44.2798,32.211449
2018-03-26,25.834545,45.831947,33.078644
2018-03-27,24.42762,43.756603,31.835665
2018-03-28,24.210442,42.527092,31.016647
2018-03-29,24.31431,43.495007,31.662228
2018-04-02,23.473932,42.213177,30.689043
2018-04-03,23.964939,42.527092,31.035919
2018-04-04,24.503159,43.181091,31.508059
2018-04-05,24.219885,43.477566,31.912746
2018-04-06,23.42672,42.431171,31.25272
2018-04-09,23.842188,42.605572,31.418447
2018-04-10,24.597584,43.713005,32.110279
2018-04-11,24.899744,43.625801,32.115097
2018-04-12,25.305767,44.070522,32.375252
2018-04-13,24.993221,43.547321,32.384888
2018-04-16,24.899744,43.634525,32.461971
2018-04-17,25.54183,45.05587,32.987106
2018-04-18,25.62681,45.334911,33.174999
2018-04-19,25.23967,45.012272,32.818485
2018-04-20,24.989445,44.44548,32.529419
2018-04-23,24.607027,44.009483,32.115097
2018-04-24,24.304869,43.181091,31.52733
2018-04-25,24.040478,42.439892,31.122637
2018-04-26,24.550373,43.320606,31.411703
2018-04-27,24.484274,43.372929,31.541782
2018-04-30,23.993267,43.355488,31.402069
2018-05-01,24.182116,43.634525,31.662228
2018-05-02,24.342638,43.800205,31.373163
2018-05-03,24.11602,43.852524,31.267172
2018-05-04,24.333197,44.480354,31.941658
2018-05-07,24.946955,45.587788,32.376217
2018-05-08,24.786434,46.076103,32.63541
2018-05-09,25.485176,46.738819,33.165359
2018-05-10,25.400192,47.096333,33.517059
2018-05-11,26.202801,46.83474,33.319534
2018-05-14,26.542728,46.459782,33.118149
2018-05-15,26.504959,45.901707,32.924477
2018-05-16,26.656038,46.416183,33.203903
2018-05-17,26.882656,46.119705,33.271355
2018-05-18,26.561613,45.875549,32.943748
2018-05-21,26.306667,46.241779,32.982285
2018-05-22,26.863773,45.866825,32.760674
2018-05-23,27.345335,46.263584,32.847393
2018-05-24,27.373665,46.381302,32.702858
2018-05-25,27.279238,46.512104,32.779945
2018-05-29,27.014851,46.267944,32.609394
2018-05-30,27.661659,46.686501,32.834862
2018-05-31,27.600281,46.660339,32.751038
2018-06-01,27.336838,47.593372,33.184631
2018-06-04,27.496416,48.474083,33.589325
2018-06-05,27.940212,48.892643,33.772396
2018-06-06,28.242371,49.598957,34.466156
2018-06-07,28.006308,48.91008,34.16745
2018-06-08,28.062963,49.24144,34.17709
2018-06-11,27.694708,49.564075,34.899754
2018-06-12,27.987423,50.10471,35.053921
2018-06-13,28.110176,50.226791,35.063553
2018-06-14,28.487873,51.22958,35.410431
2018-06-15,28.553972,51.233944,35.410431
2018-06-18,28.799473,51.534779,35.603146
2018-06-19,29.035536,50.941826,34.86121
2018-06-20,29.819258,51.48246,35.304443
2018-06-21,29.196058,50.575588,34.380398
2018-06-22,28.978882,49.921593,33.967995
2018-06-25,28.062963,48.421764,33.126823
2018-06-26,28.185715,48.883923,33.512238
2018-06-27,27.288681,47.663132,32.94471
2018-06-28,27.364222,48.439205,33.309895
2018-06-29,27.43976,48.378166,33.396614
2018-07-02,28.044079,48.831604,33.415886
2018-07-03,28.28014,48.256088,33.020828
2018-07-05,28.468988,48.936237,33.309895
2018-07-06,29.347136,49.782074,33.801304
2018-07-09,29.422676,50.322708,34.360165
2018-07-10,29.309368,50.165752,34.302349
2018-07-11,29.403791,50.10471,33.936203
2018-07-12,29.838144,51.159821,34.389069
2018-07-13,29.923124,50.985424,34.350529
2018-07-16,29.125238,50.819744,34.190582
2018-07-17,29.451004,51.438862,34.629955
2018-07-18,29.262156,51.369102,34.801468
2018-07-19,29.639853,51.168541,34.639591
2018-07-20,29.498215,50.933105,34.496986
2018-07-23,29.231939,51.090061,34.389069
2018-07-24,28.50676,50.436069,33.83503
2018-07-25,28.846685,51.447582,34.552872
2018-07-26,28.440662,51.098785,34.54324
2018-07-27,27.392548,49.529198,33.936203
2018-07-30,27.052622,47.88113,33.329166
2018-07-31,27.760805,48.029369,33.733856
2018-08-01,27.713593,48.142727,33.907295
2018-08-02,27.996866,49.398399,34.841938
2018-08-03,27.685265,48.98856,34.919025
2018-08-06,27.85523,49.642555,34.938293
2018-08-07,28.223484,49.94775,35.391159
2018-08-08,28.468988,49.939034,35.506786
2018-08-09,28.875015,50.20063,35.188816
2018-08-10,29.044979,50.061115,35.025009
2018-08-13,28.997766,49.904156,34.658863
2018-08-14,29.243269,50.183189,34.735947
2018-08-15,28.893898,49.032162,34.148182
2018-08-16,29.271599,49.014717,34.263809
2018-08-17,29.158287,48.665924,34.013287
2018-08-20,29.347136,48.979839,34.446884
2018-08-21,29.923124,49.625114,34.909389
2018-08-22,30.102531,50.10471,34.880482
2018-08-23,30.215841,49.982635,34.764858
2018-08-24,30.555773,51.159821,35.342983
2018-08-27,31.112875,51.770218,35.815121
2018-08-28,31.155365,51.831257,35.844028
2018-08-29,31.823893,52.232376,36.007832
2018-08-30,32.21764,51.700459,35.766945
2018-08-31,32.529243,51.839977,35.786213
2018-09-04,32.249748,51.683018,35.270718
2018-09-05,31.877714,49.965191,34.523972
2018-09-06,30.754061,49.686157,34.523972
2018-09-07,30.668135,49.651272,34.292717
2018-09-10,30.499115,49.94775,34.552872
2018-09-11,31.00901,50.340149,34.601051
2018-09-12,31.075106,50.645351,34.755219
2018-09-13,31.462244,50.845905,35.102097
2018-09-14,31.79273,51.011585,35.2659
2018-09-17,31.301723,49.616398,34.745586
2018-09-18,32.142105,49.747196,34.830376
2018-09-19,31.622768,49.973911,35.17918
2018-09-20,31.783285,50.235512,35.516422
2018-09-21,30.886253,49.738476,35.285172
2018-09-24,31.084547,49.895432,35.121368
2018-09-25,31.424475,50.322708,35.22736
2018-09-26,31.268677,50.383751,35.236996
2018-09-27,31.717194,50.767426,35.323715
2018-09-28,31.566113,50.218071,34.707043
2018-10-01,30.791832,50.61919,35.22736
2018-10-02,29.989223,49.799515,34.583706
2018-10-03,30.178072,49.921593,34.697403
